"x","y","score","nose_x","nose_y","left_eye_x","left_eye_y","right_eye_x","right_eye_y","left_ear_x","left_ear_y","right_ear_x","right_ear_y","left_shoulder_x","left_shoulder_y","right_shoulder_x","right_shoulder_y","left_elbow_x","left_elbow_y","right_elbow_x","right_elbow_y","left_wrist_x","left_wrist_y","right_wrist_x","right_wrist_y","left_hip_x","left_hip_y","right_hip_x","right_hip_y","left_knee_x","left_knee_y","right_knee_x","right_knee_y","left_ankle_x","left_ankle_y","right_ankle_x","right_ankle_y"
"40","50","0.559690674500806","374.764986038208","128.09317588806152","371.05810165405273","119.20243978500366","361.4122486114502","118.90452861785889","347.19937324523926","128.07835578918457","325.22717475891113","128.06636810302734","360.7032871246338","200.989351272583","309.16388988494873","169.57727909088135","379.2548179626465","267.35833168029785","411.2378215789795","143.2320213317871","481.8878650665283","101.9017481803894","482.072057723999","102.15612888336182","377.32872009277344","374.44647789001465","313.2559108734131","379.3157958984375","398.68210792541504","469.9478244781494","302.0753479003906","485.2566719055176","388.19265365600586","473.7842559814453","374.3875312805176","480.3959655761719"
"80","50","0.5270891884962717","362.9318428542406","130.41160349214994","367.0128092429087","121.44317059561315","350.4026939939751","117.92988619258318","357.14624740872927","134.9207531737807","316.8916991410345","133.41814080356897","363.1873930751798","209.56793134470817","304.42861295450774","171.14164033624223","375.2470151400143","280.65229109231456","401.69597968346574","142.65717696404087","381.26045484585853","347.50272283561713","467.0618909574848","99.13207183722159","373.9421370909347","376.39165089408436","311.5388427589312","374.5199706826487","402.8817367615016","477.5313564824792","298.98262352335274","480.6767758792164","379.2555883587726","431.52084554574196","310.6889889769092","452.66576866293246"
"120","50","0.6133921806301389","362.06304410134805","136.2087533796478","365.53561997068726","128.4475462667732","349.6468529891775","124.43359413387343","355.57127778030014","141.4955428239572","317.94532347869927","137.0714551815698","359.78914215203497","215.31345755820004","305.1458765058999","172.90038280960977","375.83992778499646","289.7782229036961","408.6964974793105","135.05953585200018","389.08494445771976","375.01962008707113","463.06725207503246","97.44409209542152","370.66909511826987","379.4323060964994","311.3689994313608","375.1877067449754","401.6034690084724","479.8138881066281","298.7905795883222","478.72300191987017","380.97102712437623","424.40392123302126","310.57426331475773","451.5912903287157"
"160","50","0.6473013529410729","359.9724171263094","136.35814348669396","364.2224333722829","128.63939259511497","347.7238550607981","124.4781423097705","355.03422824876617","145.01521331358282","317.6955455393537","138.55003456449793","361.2301389511146","217.63000339939344","306.5267534670831","174.18150101025904","374.7247171877188","293.95356721961326","405.8461141473633","140.96411392444463","392.09344886000275","383.5027576396293","462.5818472723926","101.12355643496697","367.6176890520935","381.67240601515357","314.20451655087095","376.5112548681932","401.625531875846","483.1580549243299","297.9594434345574","479.5479256986691","391.0831727686078","423.26584175325644","310.89863936929373","450.5819825213394"
"200","50","0.6402225769483126","364.85176775644356","143.07038137910217","365.01394164168227","135.0812622720263","352.3669504804552","131.0092024896937","351.6072947556579","146.7057379105073","321.1807291357478","142.19938491825238","356.64117446807296","214.76773601930802","309.96888999609826","175.65902030780757","376.8627104879167","292.61464629502404","408.897689284492","141.15923964068134","393.82951445663883","380.96634353291466","463.85888050572305","105.6146540541015","369.28228497937164","382.63989604535584","315.811029430017","380.7446423554669","399.6810037582417","481.6166366152732","301.0742454775195","476.26365070418376","388.6821295040434","423.59505453377034","312.85040778396467","449.23541558319357"
"240","50","0.6389570052807148","366.7758949987976","144.67417293083057","366.3704981047451","136.57368002912148","353.68325273046094","132.95407823411475","353.52900764382844","147.6502573538212","322.42873369253357","144.73986729782163","364.0304013037152","220.34790400981606","310.05820522761303","180.34762334303696","377.5872551246433","294.5840053452594","407.75485590179744","145.9546614480103","398.8164071501784","376.005173433276","462.6655529327867","108.54086112239459","372.83387502029575","383.0228320463437","317.48561792778156","381.2480517507489","401.66062278136513","480.8905058554767","301.472128082471","474.76179299630485","395.8558999417521","422.6711797358522","314.84182242805474","441.6853822066034"
"280","50","0.6624253208820636","366.4234429584357","147.1822712193815","366.69468681769047","139.99575668967296","353.13724963649054","137.58830136527718","352.56971080619564","151.75218796427222","323.25461955723745","150.76116307467814","358.9480638837848","219.91302852180183","315.3220703404055","182.3101420367167","379.3092419855036","295.4560385882904","408.50128116396553","151.99087031629722","402.2072852776649","373.0615575928826","462.7441136092921","111.46108396752746","369.62427835882266","381.67225827935715","322.66554621897865","379.9942328803804","401.4290735889941","482.6903593038304","305.839397842118","475.97053849071364","403.50193858724265","411.03414337413415","313.8051810570569","440.51845943058294"
"320","50","0.6481303985302265","366.222099003802","150.28927256035894","366.6347446505315","143.83486547373653","353.41230882645596","141.65639402918652","352.2465644927087","157.4185519940022","324.8991105656048","157.97880811989845","367.672331067487","224.2838103389436","317.2342017567276","188.15760920012806","384.45866744019276","299.731034770854","413.90795773151234","153.15179642516222","406.6661757723733","376.4641795868409","459.8252931898918","119.48637639909931","374.6076016233527","387.2661328547488","327.17646607519924","384.19236489301636","401.2422624333983","486.15934809929536","310.32656588236614","480.33710040943265","405.9207096768306","410.35245596298773","319.6206180651691","450.7535672091126"
"360","50","0.6526163724752573","368.86853270807467","154.19043025824578","369.48879482188477","147.02405970713352","354.8775816450944","144.94335695375207","358.57226977157427","161.10909811322892","327.36006207550327","162.1576637896591","374.4271850911718","228.6009597596051","318.23918404683974","194.16162963154028","387.0840780996127","304.9593086615477","412.46778244779546","156.17356728179743","411.9153866225532","376.34933666716887","461.6841890141517","120.8112856575367","379.85079452938584","392.0024129750307","330.01204876780156","387.4091134083797","398.87048529459014","485.1658232433065","314.0715105826037","479.96736611105496","408.54556389311506","409.5034824848275","325.70193870696335","447.2194288765466"
"400","50","0.5494743894253459","370.240492484403","156.7634471002043","370.37937406444837","149.5207978884254","358.64688109274715","147.43756404697623","360.33982493063274","164.73063866783326","331.22357734957575","164.48001091188206","374.31535597301723","229.149379088006","321.43696561991806","195.58745935512277","389.19855187891085","307.45566843553155","414.7309865254505","158.84201319113012","415.0913578218425","375.1146554886535","465.01498575774906","122.82504520805608","382.7528726367093","391.9138327561752","335.0729286586426","387.43067944592207","399.14628806231633","484.5543062307149","322.5919474020025","482.6894874427886","413.20003489656324","408.57382238260647","327.54333848219403","452.56503590925195"
